chain,contract,label,token,date,quantity
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-27,1766537.692945
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-28,1766670.596753
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-29,1766801.341955
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-30,1766567.880382
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-31,1819722.614436
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-01,1725522.124355
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-02,1718441.56218
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-03,1718463.397948
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-04,1683231.728482
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-05,1703598.454207
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-06,1701100.09722
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-07,1699097.821413
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-08,1710400.2809
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-09,1710896.097279
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-10,1711286.159121
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-11,1710624.48717
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-12,1711001.138846
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-13,1706248.257683
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-14,1706637.206974
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-15,1707186.984198
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-16,1708140.621275
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-17,1707902.503646
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-18,1707199.341074
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-19,1705416.282578
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-20,1706626.622811
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-21,1706295.483824
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-22,1706424.080453
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-23,1706483.994554
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-24,1706625.392528
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-25,1707797.932303
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-26,762606.679277
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-27,767279.92145
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-28,769085.630371
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-04-29,772168.609801
